143,164000,6/28/2006,Sold
144,150000,1/10/2019,Listed
144,150000,11/28/2018,Price Changed
144,159900,9/18/2018,Price Changed
144,165000,8/24/2018,Relisted
144,135000,2/13/2007,Sold
144,176586,12/14/2006,Sold
145,149900,11/30/2018,Listed
145,121000,9/6/2016,Sold
145,122900,8/9/2016,Sold
145,122900,7/27/2016,Listed
145,53479,5/31/2016,Sold
146,149900,1/11/2019,Listed
146,129000,1/3/2014,Sold
146,135000,12/16/2013,Sold
146,135000,9/18/2013,Listed
146,135000,9/18/2013,Listed
146,135000,9/18/2013,Listed
146,145000,2/13/2010,Relisted
146,145000,7/21/2009,Price Changed
147,149900,1/15/2019,Listed
147,137582,10/9/2018,Sold
147,137875,8/29/2018,Sold
147,139000,8/27/2018,Sold
147,139000,6/21/2018,Listed
147,137000,6/7/2006,Sold
147,99500,9/11/2000,Sold
148,154000,2/1/2019,Price Changed
148,158900,1/2/2019,Listed
148,160000,12/4/2018,Listed
148,56000,3/23/2011,Sold
148,55900,3/8/2011,Price Changed
148,61900,11/29/2010,Listed
148,169000,11/16/2006,Sold
149,145000,1/7/2019,Listed
149,110861,12/10/2015,Sold
149,110860,10/26/2015,Sold
149,109000,9/10/2015,Sold
149,111000,8/18/2015,Price Changed
149,109000,8/10/2015,Price Changed
149,113000,8/3/2015,Listed
149,135000,2/18/2004,Sold
150,149900,12/26/2018,Listed
150,87350,10/29/2018,Sold
150,52000,10/28/1991,Sold
151,149900,1/25/2019,Listed
151,112500,7/20/2016,Sold
151,115000,5/19/2016,Listed
151,105000,10/2/2014,Price Changed
151,110000,7/12/2014,Listed
151,127250,11/18/2004,Sold
151,55900,10/5/1993,Sold
153,149900,1/23/2019,Price Changed
153,159900,10/12/2018,Price Changed
153,169900,9/10/2018,Price Changed
153,179900,8/24/2018,Listed
154,154900,1/17/2019,Price Changed
154,159900,11/12/2018,Price Changed
154,164900,11/6/2018,Price Changed
154,169900,11/1/2018,Price Changed
154,179900,10/29/2018,Price Changed
154,189900,10/26/2018,Listed
154,30500,10/12/2011,Sold
154,35000,7/14/2011,Listed
155,150000,11/5/2018,Listed
